time,gyro_roll,inter_time,inter_gyro_roll
10.72,-48.75,1.63,-9.3604
10.82,-30.01,1.64,24.28
10.82,-30.01,1.65,57.9204
10.92,-15.61,1.66,88.8332
11.02,-2.61,1.67,1.14E+02
11.12,11.12,1.68,1.32E+02
11.14,11.12,1.69,1.38E+02
11.22,23.21,1.7,1.38E+02
11.32,35.6,1.71,1.39E+02
11.42,45.18,1.72,1.42E+02
11.43,45.18,1.73,1.46E+02
11.43,45.18,1.74,1.51E+02
11.46,45.18,1.75,1.57E+02
11.52,51.04,1.76,1.63E+02
11.62,53.79,1.77,1.68E+02
11.72,56.11,1.78,1.73E+02
11.78,56.11,1.79,1.77E+02
11.82,54.4,1.8,1.80E+02
11.92,47.68,1.81,1.84E+02
12.02,38.89,1.82,1.87E+02
12.1,38.89,1.83,1.90E+02
12.12,31.08,1.84,1.93E+02
12.22,21.62,1.85,1.96E+02
12.32,13.01,1.86,1.98E+02
12.42,2.64,1.87,2.00E+02
12.42,2.64,1.88,2.01E+02
12.43,2.64,1.89,2.01E+02
12.43,2.64,1.9,1.84E+02
12.52,-7.31,1.91,1.38E+02
12.62,-17.5,1.92,70.05976
12.72,-29.83,1.93,-12.40928
12.74,-29.83,1.94,-1.02E+02
12.82,-41.61,1.95,-1.92E+02
12.92,-50.22,1.96,-2.74E+02
13.02,-55.65,1.97,-3.42E+02
13.06,-55.65,1.98,-3.88E+02
13.12,-57.42,1.99,-4.05E+02
13.22,-57.54,2,-4.05E+02
13.32,-58.27,2.01,-4.05E+02
13.38,-58.27,2.02,-4.05E+02
13.42,-57.97,2.03,-4.22E+02
13.43,-57.97,2.04,-4.66E+02
13.43,-57.97,2.05,-5.25E+02
13.52,-58.34,2.06,-5.89E+02
13.62,-56.93,2.07,-6.49E+02
13.7,-56.93,2.08,-6.92E+02
13.72,-53.82,2.09,-7.09E+02
13.82,-49.61,2.1,-7.08E+02
13.92,-44.24,2.11,-7.05E+02
14.02,-42.89,2.12,-7.01E+02
14.02,-42.89,2.13,-6.96E+02
14.12,-42.95,2.14,-6.90E+02
14.22,-46.86,2.15,-6.85E+02
14.32,-50.28,2.16,-6.80E+02
14.34,-50.28,2.17,-6.75E+02
14.42,-50.89,2.18,-6.73E+02
14.43,-50.89,2.19,-6.71E+02
14.43,-50.89,2.2,-6.71E+02
14.52,-53.76,2.21,-6.71E+02
14.62,-55.53,2.22,-6.71E+02
14.66,-55.53,2.23,-6.71E+02
14.72,-56.26,2.24,-6.71E+02
14.82,-53.76,2.25,-6.71E+02
14.92,-49.42,2.26,-6.71E+02
14.98,-49.42,2.27,-6.71E+02
15.02,-45.52,2.28,-6.90E+02
15.12,-42.71,2.29,-7.09E+02
15.22,-40.39,2.3,-7.09E+02
15.3,-40.39,2.31,-7.09E+02
15.32,-35.39,2.32,-7.09E+02
15.42,-26.72,2.33,-7.09E+02
15.43,-26.72,2.34,-7.09E+02
15.43,-26.72,2.35,-7.17E+02
15.52,-19.64,2.36,-7.37E+02
15.62,-12.44,2.37,-7.60E+02
15.62,-12.44,2.38,-7.79E+02
15.72,-6.33,2.39,-7.88E+02
15.82,-0.47,2.4,-7.87E+02
15.92,5.45,2.41,-7.85E+02
15.94,5.45,2.42,-7.82E+02
16.02,9.23,2.43,-7.78E+02
16.12,12.4,2.44,-7.73E+02
16.22,15.09,2.45,-7.67E+02
16.26,15.09,2.46,-7.61E+02
16.32,14.54,2.47,-7.54E+02
16.42,10.82,2.48,-7.47E+02
16.43,10.82,2.49,-7.40E+02
16.43,10.82,2.5,-7.29E+02
